serial_no,nice_class_code,mark_id_char,mark_length,statement_text,dict_indicator,pseudo_mark,formatted_text
70013064,32,ORIGINAL BUDWEISER BUDWEISER LAGER BIER ONLY GENUINE AS DECREED BY THE COURTS ORIGINAL AS DECREED BY THE COURTS,18,LAGER BEER,0,,[CLS]ORIGINAL BUDWEISER BUDWEISER LAGER BIER ONLY GENUINE AS DECREED BY THE COURTS ORIGINAL AS DECREED BY THE COURTS [SEP] LAGER BEER [SEP] mark absent in Wordnet [SEP] Mark length is 18 [SEP] NICE category is 32 [SEP] Beers; mineral and aerated waters and other non-alcoholic beverages; fruit beverages and fruit juices; syrups and other preparations for making beverages. [SEP] Pseudo mark is  [CLS]
70013253,30,WASHBURN'S GOLD MEDAL,3,FLOUR,0,WASHBURNS GOLD MEDAL,"[CLS]WASHBURN'S GOLD MEDAL [SEP] FLOUR [SEP] mark absent in Wordnet [SEP] Mark length is 3 [SEP] NICE category is 30 [SEP] Coffee, tea, cocoa and artificial coffee; rice; tapioca and sago; flour and preparations made from cereals; bread, pastries and confectionery; edible ices; sugar, honey, treacle; yeast, baking powder; salt; mustard; vinegar, sauces (condiments); spices; ice. [SEP] Pseudo mark is WASHBURNS GOLD MEDAL [CLS]"
70013299,7,GIANT REVERE RUBBER COMPANY GIANT,5,"PACKING, BELTING, HOSE, ETC",1,,"[CLS]GIANT REVERE RUBBER COMPANY GIANT [SEP] PACKING, BELTING, HOSE, ETC [SEP] mark present in Wordnet [SEP] Mark length is 5 [SEP] NICE category is 7 [SEP] Machines and machine tools; motors and engines (except for land vehicles); machine coupling and transmission components (except for land vehicles); agricultural implements other than hand-operated; incubators for eggs; automatic vending machines. [SEP] Pseudo mark is  [CLS]"
70014118,3,SWAN,1,SOAP,1,,"[CLS]SWAN [SEP] SOAP [SEP] mark present in Wordnet [SEP] Mark length is 1 [SEP] NICE category is 3 [SEP] Bleaching preparations and other substances for laundry use; cleaning, polishing, scouring and abrasive preparations; soaps; perfumery, essential oils, cosmetics, hair lotions; dentifrices. [SEP] Pseudo mark is  [CLS]"
70014244,34,SK OF L CIGAR MAKES OF AMERICA,7,"SMOKING AND CHEWING TOBACCO, CIGARS, AND CIGARETTES",0,,"[CLS]SK OF L CIGAR MAKES OF AMERICA [SEP] SMOKING AND CHEWING TOBACCO, CIGARS, AND CIGARETTES [SEP] mark absent in Wordnet [SEP] Mark length is 7 [SEP] NICE category is 34 [SEP] Tobacco; smokers' articles; matches. [SEP] Pseudo mark is  [CLS]"
70014364,3,"WELCOME SOAP POWDER CURTIS DAVIS & CO BOSTON, MASS., U.S.A.",10,SOAP-POWDER,0,,"[CLS]WELCOME SOAP POWDER CURTIS DAVIS & CO BOSTON, MASS., U.S.A. [SEP] SOAP-POWDER [SEP] mark absent in Wordnet [SEP] Mark length is 10 [SEP] NICE category is 3 [SEP] Bleaching preparations and other substances for laundry use; cleaning, polishing, scouring and abrasive preparations; soaps; perfumery, essential oils, cosmetics, hair lotions; dentifrices. [SEP] Pseudo mark is  [CLS]"
70014441,3,SUNLIGHT,1,"SOAP FOR LAUNDRY, TOILET, AND GENERAL PURPOSES",1,,"[CLS]SUNLIGHT [SEP] SOAP FOR LAUNDRY, TOILET, AND GENERAL PURPOSES [SEP] mark present in Wordnet [SEP] Mark length is 1 [SEP] NICE category is 3 [SEP] Bleaching preparations and other substances for laundry use; cleaning, polishing, scouring and abrasive preparations; soaps; perfumery, essential oils, cosmetics, hair lotions; dentifrices. [SEP] Pseudo mark is  [CLS]"
70014527,5,AYER'S SARSAPARILLA THE BEST BLOOD MEDICINE,6,PROPRIETARY MEDICINES CONTAINING SARSAPARILLA,0,,"[CLS]AYER'S SARSAPARILLA THE BEST BLOOD MEDICINE [SEP] PROPRIETARY MEDICINES CONTAINING SARSAPARILLA [SEP] mark absent in Wordnet [SEP] Mark length is 6 [SEP] NICE category is 5 [SEP] Pharmaceutical and veterinary preparations; sanitary preparations for medical purposes; dietetic food and substances adapted for medical use, food for babies; dietary supplements for humans and animals; plasters, materials for dressings; material for stopping teeth, dental wax; disinfectants; preparations for destroying vermin; fungicides, herbicides. [SEP] Pseudo mark is  [CLS]"
70015086,3,OCTAGON,1,SOAP,1,,"[CLS]OCTAGON [SEP] SOAP [SEP] mark present in Wordnet [SEP] Mark length is 1 [SEP] NICE category is 3 [SEP] Bleaching preparations and other substances for laundry use; cleaning, polishing, scouring and abrasive preparations; soaps; perfumery, essential oils, cosmetics, hair lotions; dentifrices. [SEP] Pseudo mark is  [CLS]"
70015226,6,PHOSPHOR BRONZE,2,METALLIC ALLOYS AND ARTICLES MADE THEREFROM.,1,,"[CLS]PHOSPHOR BRONZE [SEP] METALLIC ALLOYS AND ARTICLES MADE THEREFROM. [SEP] mark present in Wordnet [SEP] Mark length is 2 [SEP] NICE category is 6 [SEP] Common metals and their alloys; metal building materials; transportable buildings of metal; materials of metal for railway tracks; non-electric cables and wires of common metal; ironmongery, small items of metal hardware; pipes and tubes of metal; safes; goods of common metal not included in other classes; ores. [SEP] Pseudo mark is  [CLS]"
70015321,6,JENKINS DISC.,2,"VALVES AND PACKINGS FOR VALVES, COCKS, AND SIMILAR INSTRUMENTS",0,,"[CLS]JENKINS DISC. [SEP] VALVES AND PACKINGS FOR VALVES, COCKS, AND SIMILAR INSTRUMENTS [SEP] mark absent in Wordnet [SEP] Mark length is 2 [SEP] NICE category is 6 [SEP] Common metals and their alloys; metal building materials; transportable buildings of metal; materials of metal for railway tracks; non-electric cables and wires of common metal; ironmongery, small items of metal hardware; pipes and tubes of metal; safes; goods of common metal not included in other classes; ores. [SEP] Pseudo mark is  [CLS]"
70015376,16,STANDARD REMINGTON TYPEWRITER TO SAVE TIME IS TO LENGTHEN LIFE.,10,TYPE WRITING MACHINES.,0,,"[CLS]STANDARD REMINGTON TYPEWRITER TO SAVE TIME IS TO LENGTHEN LIFE. [SEP] TYPE WRITING MACHINES. [SEP] mark absent in Wordnet [SEP] Mark length is 10 [SEP] NICE category is 16 [SEP] Paper and cardboard; printed matter; bookbinding material; photographs; stationery and office requisites, except furniture; adhesives for stationery or household purposes; artists' and drawing materials; paintbrushes; typewriters and office requisites (except furniture); instructional and teaching materials (except apparatus); plastic materials forsheets, films and bags for wrapping and packaging; printers' type; printing blocks. [SEP] Pseudo mark is  [CLS]"
70015437,16,D DRESDEN EXTRA BRILLIANT,4,ALBUMEN PAPER FOR PHOTOGRAPHIC PURPOSES.,1,,"[CLS]D DRESDEN EXTRA BRILLIANT [SEP] ALBUMEN PAPER FOR PHOTOGRAPHIC PURPOSES. [SEP] mark present in Wordnet [SEP] Mark length is 4 [SEP] NICE category is 16 [SEP] Paper and cardboard; printed matter; bookbinding material; photographs; stationery and office requisites, except furniture; adhesives for stationery or household purposes; artists' and drawing materials; paintbrushes; typewriters and office requisites (except furniture); instructional and teaching materials (except apparatus); plastic materials forsheets, films and bags for wrapping and packaging; printers' type; printing blocks. [SEP] Pseudo mark is  [CLS]"
70015801,29,CHAMPION CONDENSED MILK,3,CONDENSED MILK,1,,"[CLS]CHAMPION CONDENSED MILK [SEP] CONDENSED MILK [SEP] mark present in Wordnet [SEP] Mark length is 3 [SEP] NICE category is 29 [SEP] Meat, fish, poultry and game; meat extracts; preserved, frozen, dried and cooked fruits and vegetables; jellies, jams, compotes; eggs; milk and milk products; edible oils and fats [SEP] Pseudo mark is  [CLS]"
70015960,16,REMINGTON,1,TYPE-WRITING MACHINES,0,,"[CLS]REMINGTON [SEP] TYPE-WRITING MACHINES [SEP] mark absent in Wordnet [SEP] Mark length is 1 [SEP] NICE category is 16 [SEP] Paper and cardboard; printed matter; bookbinding material; photographs; stationery and office requisites, except furniture; adhesives for stationery or household purposes; artists' and drawing materials; paintbrushes; typewriters and office requisites (except furniture); instructional and teaching materials (except apparatus); plastic materials forsheets, films and bags for wrapping and packaging; printers' type; printing blocks. [SEP] Pseudo mark is  [CLS]"
70016114,27,"ANAGLYPTA WALL DECORATION SANITARY BEAUTIFUL DURABLE INEXPENSIVE WORKS, QUEEN'S MILLS, LANCASTER LONDON WAREHOUSE, 92 & 93 GT. RUSSELL ST., W.C.",20,"DECORATIVE COVERING-SUCH AS EMBOSSED OR STAMPED PAPER OR OTHER MATERIAL-FOR APPLICATION TO WALLS, CEILINGS, OR OTHER SURFACES",0,,"[CLS]ANAGLYPTA WALL DECORATION SANITARY BEAUTIFUL DURABLE INEXPENSIVE WORKS, QUEEN'S MILLS, LANCASTER LONDON WAREHOUSE, 92 & 93 GT. RUSSELL ST., W.C. [SEP] DECORATIVE COVERING-SUCH AS EMBOSSED OR STAMPED PAPER OR OTHER MATERIAL-FOR APPLICATION TO WALLS, CEILINGS, OR OTHER SURFACES [SEP] mark absent in Wordnet [SEP] Mark length is 20 [SEP] NICE category is 27 [SEP] Carpets, rugs, mats and matting, linoleum and other materials for covering existing floors; wall hangings (non-textile). [SEP] Pseudo mark is  [CLS]"
70016140,33,"THE SHAMROCK WHISKY KIRKER, GREER & CO BELFAST.",8,WHISKY,0,,"[CLS]THE SHAMROCK WHISKY KIRKER, GREER & CO BELFAST. [SEP] WHISKY [SEP] mark absent in Wordnet [SEP] Mark length is 8 [SEP] NICE category is 33 [SEP] Alcoholic beverages (except beers). [SEP] Pseudo mark is  [CLS]"
70016314,3,SUNBEAM.,1,SOAPS AND DETERGENTS,0,,"[CLS]SUNBEAM. [SEP] SOAPS AND DETERGENTS [SEP] mark absent in Wordnet [SEP] Mark length is 1 [SEP] NICE category is 3 [SEP] Bleaching preparations and other substances for laundry use; cleaning, polishing, scouring and abrasive preparations; soaps; perfumery, essential oils, cosmetics, hair lotions; dentifrices. [SEP] Pseudo mark is  [CLS]"
70016443,3,VINOLIA,1,"TOILET SOAP, SHAVING-SOAP, MEDICAL SOAP, AND A TOILET CREAM",0,,"[CLS]VINOLIA [SEP] TOILET SOAP, SHAVING-SOAP, MEDICAL SOAP, AND A TOILET CREAM [SEP] mark absent in Wordnet [SEP] Mark length is 1 [SEP] NICE category is 3 [SEP] Bleaching preparations and other substances for laundry use; cleaning, polishing, scouring and abrasive preparations; soaps; perfumery, essential oils, cosmetics, hair lotions; dentifrices. [SEP] Pseudo mark is  [CLS]"
70016486,33,HENRY WHITE AND CO.'S RED HEART RUM LONDON,8,RUM,0,,[CLS]HENRY WHITE AND CO.'S RED HEART RUM LONDON [SEP] RUM [SEP] mark absent in Wordnet [SEP] Mark length is 8 [SEP] NICE category is 33 [SEP] Alcoholic beverages (except beers). [SEP] Pseudo mark is  [CLS]
70016487,11,TRIPLE MOTION WHITE MOUNTAIN ICE CREAM FREEZER,7,ICE CREAM FREEZERS.,1,,"[CLS]TRIPLE MOTION WHITE MOUNTAIN ICE CREAM FREEZER [SEP] ICE CREAM FREEZERS. [SEP] mark present in Wordnet [SEP] Mark length is 7 [SEP] NICE category is 11 [SEP] Apparatus for lighting, heating, steam generating, cooking, refrigerating, drying, ventilating, water supply and sanitary purposes. [SEP] Pseudo mark is  [CLS]"
70016709,20,LA COLLERETTE MARQUE DEPOSEE,4,DRESS-SHIELDS,0,,"[CLS]LA COLLERETTE MARQUE DEPOSEE [SEP] DRESS-SHIELDS [SEP] mark absent in Wordnet [SEP] Mark length is 4 [SEP] NICE category is 20 [SEP] Furniture, mirrors, picture frames; containers, not of metal, for storage or transport; unworked or semi-worked bone, horn, ivory, whalebone or mother-of-pearl; shells; meerschaum; yellow amber. [SEP] Pseudo mark is  [CLS]"
70017825,30,AUNT JEMIMA,2,SELF-RAISING FLOUR,0,,"[CLS]AUNT JEMIMA [SEP] SELF-RAISING FLOUR [SEP] mark absent in Wordnet [SEP] Mark length is 2 [SEP] NICE category is 30 [SEP] Coffee, tea, cocoa and artificial coffee; rice; tapioca and sago; flour and preparations made from cereals; bread, pastries and confectionery; edible ices; sugar, honey, treacle; yeast, baking powder; salt; mustard; vinegar, sauces (condiments); spices; ice. [SEP] Pseudo mark is  [CLS]"
70017953,21,ROYAL WORCESTER,2,Porcelain Goods and Pottery,1,,"[CLS]ROYAL WORCESTER [SEP] Porcelain Goods and Pottery [SEP] mark present in Wordnet [SEP] Mark length is 2 [SEP] NICE category is 21 [SEP] Household or kitchen utensils and containers; combs and sponges; brushes, (except paintbrushes); brush-making materials; articles for cleaning purposes; steelwool; unworked or semi-worked glass, (except building glass used in building); glassware, porcelain and earthenware. [SEP] Pseudo mark is  [CLS]"
70017960,5,COD-LIVER OIL SCOTT'S EMULSION,4,COD-LIVER OIL,0,,"[CLS]COD-LIVER OIL SCOTT'S EMULSION [SEP] COD-LIVER OIL [SEP] mark absent in Wordnet [SEP] Mark length is 4 [SEP] NICE category is 5 [SEP] Pharmaceutical and veterinary preparations; sanitary preparations for medical purposes; dietetic food and substances adapted for medical use, food for babies; dietary supplements for humans and animals; plasters, materials for dressings; material for stopping teeth, dental wax; disinfectants; preparations for destroying vermin; fungicides, herbicides. [SEP] Pseudo mark is  [CLS]"
70018423,3,"BRECKNELL, TURNER & SONS PREPARED SADDLE SOAP 31 & 32, HAYMARKET, LONDON.",12,Soap,0,,"[CLS]BRECKNELL, TURNER & SONS PREPARED SADDLE SOAP 31 & 32, HAYMARKET, LONDON. [SEP] Soap [SEP] mark absent in Wordnet [SEP] Mark length is 12 [SEP] NICE category is 3 [SEP] Bleaching preparations and other substances for laundry use; cleaning, polishing, scouring and abrasive preparations; soaps; perfumery, essential oils, cosmetics, hair lotions; dentifrices. [SEP] Pseudo mark is  [CLS]"
70018541,30,G. T. GOULD TEA OLD COUNTRY ENGLISH BREAKFAST TEA,9,TEA.,0,,"[CLS]G. T. GOULD TEA OLD COUNTRY ENGLISH BREAKFAST TEA [SEP] TEA. [SEP] mark absent in Wordnet [SEP] Mark length is 9 [SEP] NICE category is 30 [SEP] Coffee, tea, cocoa and artificial coffee; rice; tapioca and sago; flour and preparations made from cereals; bread, pastries and confectionery; edible ices; sugar, honey, treacle; yeast, baking powder; salt; mustard; vinegar, sauces (condiments); spices; ice. [SEP] Pseudo mark is  [CLS]"
70019225,5,"SCOTT'S EMULSION P.P.P. OF PURE COD LIVER OIL SCOTT & BOWNE MANUFACTURING CHEMISTS, NEW YORK. EXCLUSIVELY FOR EXPORT. PERFECT PERMANENT PALATABLE WITH HYPOPHOSPHITES OF LIME AND SODA. A RELIABLE REMEDY FOR PULMONARY DISEASES, COUGHS, COLDS, AND GENERAL DEBILITY.",38,Emulsions and Like Medicinal Preparations,0,SCOTTS EMULSION PPP OF PURE COD LIVE,"[CLS]SCOTT'S EMULSION P.P.P. OF PURE COD LIVER OIL SCOTT & BOWNE MANUFACTURING CHEMISTS, NEW YORK. EXCLUSIVELY FOR EXPORT. PERFECT PERMANENT PALATABLE WITH HYPOPHOSPHITES OF LIME AND SODA. A RELIABLE REMEDY FOR PULMONARY DISEASES, COUGHS, COLDS, AND GENERAL DEBILITY. [SEP] Emulsions and Like Medicinal Preparations [SEP] mark absent in Wordnet [SEP] Mark length is 38 [SEP] NICE category is 5 [SEP] Pharmaceutical and veterinary preparations; sanitary preparations for medical purposes; dietetic food and substances adapted for medical use, food for babies; dietary supplements for humans and animals; plasters, materials for dressings; material for stopping teeth, dental wax; disinfectants; preparations for destroying vermin; fungicides, herbicides. [SEP] Pseudo mark is SCOTTS EMULSION PPP OF PURE COD LIVE [CLS]"
70019634,32,CLICQUOT-CLUB,1,Ginger-Ale,0,,[CLS]CLICQUOT-CLUB [SEP] Ginger-Ale [SEP] mark absent in Wordnet [SEP] Mark length is 1 [SEP] NICE category is 32 [SEP] Beers; mineral and aerated waters and other non-alcoholic beverages; fruit beverages and fruit juices; syrups and other preparations for making beverages. [SEP] Pseudo mark is  [CLS]
70019679,30,MAIZENA,1,Corn-Flour,0,,"[CLS]MAIZENA [SEP] Corn-Flour [SEP] mark absent in Wordnet [SEP] Mark length is 1 [SEP] NICE category is 30 [SEP] Coffee, tea, cocoa and artificial coffee; rice; tapioca and sago; flour and preparations made from cereals; bread, pastries and confectionery; edible ices; sugar, honey, treacle; yeast, baking powder; salt; mustard; vinegar, sauces (condiments); spices; ice. [SEP] Pseudo mark is  [CLS]"
70019680,30,MAIZENA,1,Corn-Flour,0,,"[CLS]MAIZENA [SEP] Corn-Flour [SEP] mark absent in Wordnet [SEP] Mark length is 1 [SEP] NICE category is 30 [SEP] Coffee, tea, cocoa and artificial coffee; rice; tapioca and sago; flour and preparations made from cereals; bread, pastries and confectionery; edible ices; sugar, honey, treacle; yeast, baking powder; salt; mustard; vinegar, sauces (condiments); spices; ice. [SEP] Pseudo mark is  [CLS]"
70019752,7,LITTLE GIANT.,2,"Belting for Machinery [, Hose for Fluids, Packing for Machinery, Valves, Gaskets, Couplings of Brass, Tubing, Springs, Dekle-Straps, and Cotton and Linen Rubber-Lined Hose ]",0,,"[CLS]LITTLE GIANT. [SEP] Belting for Machinery [, Hose for Fluids, Packing for Machinery, Valves, Gaskets, Couplings of Brass, Tubing, Springs, Dekle-Straps, and Cotton and Linen Rubber-Lined Hose ] [SEP] mark absent in Wordnet [SEP] Mark length is 2 [SEP] NICE category is 7 [SEP] Machines and machine tools; motors and engines (except for land vehicles); machine coupling and transmission components (except for land vehicles); agricultural implements other than hand-operated; incubators for eggs; automatic vending machines. [SEP] Pseudo mark is  [CLS]"
70019979,5,WOODWARD'S GRIPE WATER,3,"Remedies for Diseases of the Stomach and Bowels, Dyspepsia, Flatulence, Diarrhea, Dysentery, &c., and Relieving Pain in Teething",0,WOODWARDS CRIPE WATER,"[CLS]WOODWARD'S GRIPE WATER [SEP] Remedies for Diseases of the Stomach and Bowels, Dyspepsia, Flatulence, Diarrhea, Dysentery, &c., and Relieving Pain in Teething [SEP] mark absent in Wordnet [SEP] Mark length is 3 [SEP] NICE category is 5 [SEP] Pharmaceutical and veterinary preparations; sanitary preparations for medical purposes; dietetic food and substances adapted for medical use, food for babies; dietary supplements for humans and animals; plasters, materials for dressings; material for stopping teeth, dental wax; disinfectants; preparations for destroying vermin; fungicides, herbicides. [SEP] Pseudo mark is WOODWARDS CRIPE WATER [CLS]"
70020157,29,THE DAINTY FIRST QUALITY,4,CANNED TOMATOES AND OTHER EDIBLES,0,THE DAINTY 1ST QUALITY,"[CLS]THE DAINTY FIRST QUALITY [SEP] CANNED TOMATOES AND OTHER EDIBLES [SEP] mark absent in Wordnet [SEP] Mark length is 4 [SEP] NICE category is 29 [SEP] Meat, fish, poultry and game; meat extracts; preserved, frozen, dried and cooked fruits and vegetables; jellies, jams, compotes; eggs; milk and milk products; edible oils and fats [SEP] Pseudo mark is THE DAINTY 1ST QUALITY [CLS]"
70020175,29,NELSON MORRIS & CO MATCHLESS BRAND EXTRA SUGAR CURED HAMS CHICAGO,11,"[DRY, SALT, SUGAR-CURED, AND SMOKED HAMS,] BACON, [SHOULDERS, LARD, LARD-OIL,LARD COMPOUND, OILS, TALLOW, AND STEARINE, BONELESS HAMS, BEEF-HAMS, DRIED BEEF, SAUSAGE, PIGS' TONGUES, BEEF-TONGUES, TRIPE, PIGS' FEET, CANNED MEAT AND SOUPS, BEEF EXTRACTS, AND OTHER PREPARATIONS AND PRODUCTS OF THE HOG AND BEEF]",0,NELSON MORRIS AND COMPANY BRAND EXTRA SUGAR CURED HAMS CHICAGO,"[CLS]NELSON MORRIS & CO MATCHLESS BRAND EXTRA SUGAR CURED HAMS CHICAGO [SEP] [DRY, SALT, SUGAR-CURED, AND SMOKED HAMS,] BACON, [SHOULDERS, LARD, LARD-OIL,LARD COMPOUND, OILS, TALLOW, AND STEARINE, BONELESS HAMS, BEEF-HAMS, DRIED BEEF, SAUSAGE, PIGS' TONGUES, BEEF-TONGUES, TRIPE, PIGS' FEET, CANNED MEAT AND SOUPS, BEEF EXTRACTS, AND OTHER PREPARATIONS AND PRODUCTS OF THE HOG AND BEEF] [SEP] mark absent in Wordnet [SEP] Mark length is 11 [SEP] NICE category is 29 [SEP] Meat, fish, poultry and game; meat extracts; preserved, frozen, dried and cooked fruits and vegetables; jellies, jams, compotes; eggs; milk and milk products; edible oils and fats [SEP] Pseudo mark is NELSON MORRIS AND COMPANY BRAND EXTRA SUGAR CURED HAMS CHICAGO [CLS]"
